,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All_NBA
91,1005.0,536.0,27212.0,176.5,7.712999999999999,2.527,2.686,72.7,185.6,130.6,266.90000000000003,16.900000000000002,17.6,272.59999999999997,221.7,23.400000000000002,27.700000000000003,51.3,1.2359999999999998,-6.600000000000001,15.100000000000003,8.399999999999999,19.6,3609.0,7287.0,6.960999999999999,447.0,1313.0,4.743,3162.0,5974.0,7.434000000000001,7.4030000000000005,1019.0,1417.0,9.979,1187.0,3168.0,4355.0,3480.0,617.0,482.0,1776.0,2159.0,8684.0,0
92,290.0,23.0,5327.0,59.199999999999996,3.02,2.701,1.771,15.6,84.7,50.1,51.900000000000006,8.3,8.399999999999999,76.5,119.2,3.5,5.0,8.399999999999999,0.269,-13.1,-7.2,-20.4,-0.3,717.0,1759.0,2.306,313.0,832.0,2.016,404.0,927.0,2.501,2.771,425.0,540.0,4.347,118.0,677.0,795.0,269.0,131.0,84.0,271.0,655.0,2172.0,0
93,777.0,508.0,21792.0,243.0,7.9639999999999995,1.645,6.674,110.60000000000001,280.8,196.10000000000002,223.9,18.4,24.6,202.7,255.10000000000002,44.300000000000004,25.2,69.50000000000001,2.136,10.1,12.700000000000001,22.5,22.999999999999996,3054.0,6334.0,6.648,179.0,563.0,4.126,2875.0,5771.0,6.670999999999999,6.953,2316.0,2864.0,11.344000000000001,1449.0,4005.0,5454.0,2221.0,557.0,539.0,1210.0,2092.0,8603.0,0
94,324.0,290.0,10774.0,77.5,2.6940000000000004,1.704,1.069,13.0,48.2,30.599999999999998,76.5,7.7,3.8,52.6,120.8,12.100000000000001,9.700000000000001,21.9,0.47,6.2,-5.4,0.8999999999999999,6.1,2122.0,4808.0,2.1870000000000003,663.0,1661.0,1.988,1459.0,3147.0,2.303,2.526,821.0,1032.0,3.949,248.0,904.0,1152.0,1003.0,334.0,97.0,610.0,688.0,5728.0,0
95,336.0,53.0,5440.0,180.7,5.739000000000001,0.034,2.9120000000000004,82.4,138.4,110.0,39.5,11.6,45.4,79.70000000000002,152.90000000000003,15.3,5.7,21.3,1.5759999999999998,2.3000000000000007,7.1,9.100000000000001,5.1000000000000005,1058.0,1711.0,5.613,0.0,9.0,1.3850930958714136,1058.0,1702.0,5.633,5.613,357.0,530.0,5.84,459.0,747.0,1206.0,148.0,144.0,340.0,169.0,469.0,2473.0,0
96,758.0,283.0,16410.0,175.79999999999998,6.541,0.126,4.175000000000001,99.29999999999998,201.0,150.2,66.10000000000001,10.999999999999998,26.7,136.9,219.89999999999998,23.799999999999997,19.1,42.9,1.3519999999999999,-25.2,-1.1102230246251565e-16,-25.4,3.7,2558.0,5125.0,5.841,12.0,58.0,1.7780558575228482,2546.0,5067.0,5.88,5.851,1447.0,1740.0,9.749,1139.0,2309.0,3448.0,608.0,295.0,479.0,718.0,1375.0,6575.0,0
97,495.0,426.0,15849.0,126.89999999999999,3.998,3.104,2.0380000000000003,17.000000000000004,72.2,43.7,246.60000000000002,16.6,3.9999999999999996,110.39999999999999,189.9,15.0,13.899999999999999,28.799999999999997,0.698,14.200000000000001,-11.100000000000001,3.0999999999999996,10.5,2641.0,6778.0,3.0980000000000003,870.0,2486.0,2.787,1771.0,4292.0,3.294,3.6390000000000002,1338.0,1678.0,6.349,311.0,1227.0,1538.0,2929.0,647.0,93.0,1141.0,929.0,7490.0,0
98,371.0,311.0,11592.0,85.7,3.125,2.039,1.487,12.600000000000001,62.3,37.0,139.50000000000003,9.2,3.0999999999999996,92.80000000000001,149.10000000000002,5.8,5.7,11.600000000000001,0.28600000000000003,4.0,-11.6,-7.5,2.5,2041.0,4904.0,2.492,604.0,1685.0,2.1470000000000002,1437.0,3219.0,2.6639999999999997,2.859,987.0,1216.0,4.884,220.0,1034.0,1254.0,1580.0,348.0,69.0,996.0,761.0,5673.0,0
99,326.0,300.0,11561.0,104.9,3.0789999999999997,1.23,1.9909999999999999,20.2,65.5,42.4,143.2,9.200000000000001,2.7,63.300000000000004,141.8,28.7,8.8,37.5,0.715,12.700000000000001,-4.9,7.899999999999999,15.299999999999999,2224.0,4849.0,2.577,322.0,925.0,1.7570000000000001,1902.0,3924.0,2.809,2.7470000000000003,1366.0,1707.0,4.743,347.0,1041.0,1388.0,1517.0,335.0,76.0,595.0,630.0,6136.0,2
100,481.0,163.0,10564.0,77.89999999999999,4.6209999999999996,4.151000000000001,1.4200000000000002,15.2,106.39999999999999,61.20000000000001,67.0,7.9,16.0,124.39999999999999,132.0,3.1,8.0,11.2,0.29400000000000004,-22.4,-5.8,-28.000000000000004,0.8,1220.0,2861.0,3.773,522.0,1300.0,2.9040000000000004,698.0,1561.0,4.135,4.484,288.0,408.0,5.9609999999999985,187.0,1226.0,1413.0,468.0,222.0,262.0,400.0,620.0,3250.0,0
101,788.0,530.0,17939.0,180.7,6.995000000000002,0.012,7.109,154.7,235.29999999999998,194.90000000000003,49.300000000000004,11.899999999999999,62.3,196.70000000000002,187.50000000000003,23.600000000000005,18.2,41.599999999999994,1.2440000000000002,-28.9,15.799999999999999,-12.899999999999999,7.499999999999999,2022.0,3843.0,6.709,0.0,3.0,2.7701861917428268,2022.0,3840.0,6.715999999999999,6.709,1268.0,2159.0,7.247000000000001,2003.0,2664.0,4667.0,417.0,312.0,1052.0,819.0,1979.0,5312.0,0
102,895.0,449.0,23384.0,214.6,8.456000000000001,7.9300000000000015,3.326,32.5,153.4,93.30000000000003,264.40000000000003,28.7,10.8,215.00000000000003,228.0,47.1,22.8,70.0,1.9380000000000002,31.9,-1.2000000000000006,30.599999999999998,27.1,2873.0,6239.0,6.372,1383.0,3408.0,5.61,1490.0,2831.0,7.379999999999999,7.968,1289.0,1569.0,11.613999999999999,448.0,2304.0,2752.0,2871.0,941.0,249.0,1280.0,1724.0,8418.0,0
103,285.0,58.0,5113.0,80.9,3.859,3.704,2.614,22.300000000000004,54.7,38.99999999999999,167.2,15.9,1.3,158.6,135.29999999999998,8.600000000000001,3.3000000000000003,11.999999999999998,0.45,-1.6,-13.700000000000001,-15.399999999999999,2.4,577.0,1313.0,2.738,305.0,740.0,2.469,272.0,573.0,3.036,3.402,360.0,430.0,5.835000000000001,116.0,375.0,491.0,869.0,202.0,11.0,422.0,555.0,1819.0,0
104,688.0,411.0,17466.0,174.3,5.661,0.31300000000000006,3.8800000000000003,19.8,119.6,69.0,473.50000000000006,41.70000000000001,4.000000000000001,239.30000000000004,206.4,11.399999999999999,20.8,32.1,0.969,-13.8,-2.5,-16.3,4.6000000000000005,1958.0,4741.0,4.941,15.0,114.0,1.57,1943.0,4627.0,5.029999999999999,4.963,1264.0,1599.0,9.293999999999999,270.0,1444.0,1714.0,4350.0,1168.0,85.0,1313.0,1788.0,5195.0,0
105,456.0,37.0,6477.0,130.8,6.283,5.480999999999999,3.9439999999999995,74.3,161.10000000000002,117.49999999999999,125.7,24.700000000000003,6.8999999999999995,174.39999999999998,180.29999999999998,8.0,7.3,15.4,1.044,-10.399999999999999,-2.199999999999999,-12.599999999999998,4.4,664.0,1628.0,4.585,243.0,653.0,3.7370000000000005,421.0,975.0,5.071,5.504,537.0,624.0,10.254,286.0,764.0,1050.0,465.0,295.0,69.0,330.0,890.0,2108.0,0
106,390.0,72.0,5433.0,100.0,4.554,3.188,1.347,50.099999999999994,163.0,106.5,61.30000000000001,10.4,15.4,108.10000000000002,190.1,5.3999999999999995,5.1000000000000005,10.6,0.429,-24.500000000000004,-14.399999999999999,-38.9,-0.4,895.0,1997.0,3.7689999999999997,253.0,644.0,2.9200000000000004,642.0,1353.0,4.026000000000001,4.337,212.0,273.0,6.949000000000001,299.0,778.0,1077.0,246.0,131.0,127.0,242.0,754.0,2255.0,0
107,756.0,577.0,21417.0,169.0,6.3709999999999996,0.03900000000000001,4.31,117.9,239.60000000000002,179.40000000000003,85.70000000000002,13.899999999999999,23.099999999999998,170.5,214.6,24.3,30.199999999999996,54.60000000000001,1.354,-19.6,11.399999999999999,-8.3,10.500000000000002,3103.0,6332.0,5.772,6.0,28.0,2.3700930958714137,3097.0,6304.0,5.783,5.777,1721.0,2306.0,9.181,1834.0,3788.0,5622.0,923.0,455.0,561.0,1235.0,2409.0,7933.0,0
108,293.0,59.0,5070.0,63.400000000000006,2.5949999999999998,1.628,1.1860000000000002,6.3,41.2,23.6,108.0,6.299999999999999,1.4,61.5,98.0,5.1,2.2,7.2,0.341,-3.8999999999999995,-13.7,-17.6,-1.4,730.0,1781.0,2.0460000000000003,211.0,595.0,1.786,519.0,1186.0,2.1660000000000004,2.338,328.0,360.0,4.506,56.0,354.0,410.0,705.0,129.0,18.0,265.0,356.0,1999.0,0
